x	Mapped Average Profile avg
-7.857635207242587	-0.0036324064330798406
-7.698895102045767	-0.003727893486061294
-7.540154996848947	-0.003743824408351218
-7.381414891652127	-0.0038136349533975577
-7.222674786455307	-0.003896175761821151
-7.063934681258488	-0.003888409408585603
-6.9051945760616675	-0.003934445653725667
-6.7464544708648475	-0.0038911921558454376
-6.5877143656680275	-0.00382977660673306
-6.4289742604712075	-0.003813148346522914
-6.270234155274387	-0.003830716209460371
-6.111494050077567	-0.0035871824050609
-5.952753944880747	-0.003404330313078596
-5.794013839683927	-0.0030296375238684087
-5.635273734487107	-0.0024165126282268425
-5.476533629290287	-0.0016762003136559578
-5.317793524093467	-4.914468509733321E-4
-5.159053418896647	9.993132952594015E-4
-5.000313313699827	0.0028617227873858875
-4.841573208503008	0.005327756087455001
-4.682833103306188	0.009402254510008746
-4.524092998109368	0.013908458980044365
-4.365352892912548	0.019463637131555606
-4.206612787715728	0.026701766193228855
-4.047872682518908	0.035483377306299364
-3.8891325773220884	0.045925350778740305
-3.730392472125268	0.058664072746190295
-3.571652366928449	0.07189889010585103
-3.4129122617316288	0.08601370542459955
-3.2541721565348087	0.1041688897933741
-3.0954320513379887	0.12380455697811611
-2.9366919461411687	0.14541491905633794
-2.7779518409443487	0.16557679291856092
-2.6192117357475286	0.18789174573075534
-2.4604716305507086	0.20904422557604588
-2.3017315253538886	0.22977491572615547
-2.1429914201570686	0.2510409388774683
-1.9842513149602485	0.2697068618872877
-1.8255112097634294	0.28845076711197937
-1.6667711045666094	0.3048562407693393
-1.5080309993697893	0.3153214332515378
-1.3492908941729693	0.32858547028622204
-1.1905507889761493	0.3390338250369004
-1.0318106837793293	0.3514924548979595
-0.8730705785825092	0.3623003343518057
-0.7143304733856892	0.373094811732538
-0.5555903681888692	0.3831706299187596
-0.3968502629920492	0.3888532260719324
-0.23811015779522915	0.3911660236344504
-0.07937005259841001	0.392987669973314
0.07937005259841001	0.3942358387880875
0.23811015779523093	0.38775736359673585
0.39685026299205095	0.3867538799980085
0.555590368188871	0.38140303712150475
0.7143304733856892	0.3756361318125184
0.8730705785825092	0.3650474253074643
1.0318106837793293	0.3536821854479713
1.1905507889761493	0.3413979388188017
1.3492908941729693	0.33284648491803576
1.5080309993697893	0.31927533380762124
1.6667711045666094	0.30613673914747597
1.8255112097634294	0.2864083538890129
1.9842513149602494	0.26980255879399123
2.1429914201570694	0.24923554025239375
2.3017315253538895	0.2261423346057668
2.4604716305507095	0.20694853578371872
2.6192117357475295	0.18615095483835148
2.7779518409443495	0.1639232014375368
2.9366919461411696	0.14219245279102952
3.0954320513379896	0.12164432835333047
3.2541721565348096	0.10325813922528339
3.4129122617316296	0.08714170935731441
3.5716523669284497	0.07131422292580808
3.7303924721252697	0.05870182739050565
3.8891325773220897	0.04671036241439388
4.047872682518908	0.037606543416247876
4.206612787715728	0.029459747249616863
4.365352892912548	0.02277558709607821
4.524092998109368	0.016989094621147165
4.682833103306188	0.01277880743580185
4.841573208503008	0.009224195285793031
5.000313313699828	0.006439824529226183
5.159053418896648	0.0044502808857231745
5.317793524093468	0.003053699158495541
5.476533629290288	0.0017282412080215255
5.635273734487108	6.821363545117994E-4
5.794013839683928	1.0300860881598107E-4
5.952753944880748	-4.69334880360063E-4
6.111494050077568	-9.725285683765001E-4
6.270234155274388	-0.001336916716853627
6.428974260471208	-0.0016806913082544467
6.587714365668028	-0.001971863199277718
6.746454470864848	-0.0021717503427781007
6.905194576061668	-0.0024177597094895316
7.0639346812584884	-0.0027260220621301455
7.2226747864553085	-0.003139680447639576
7.3814148916521285	-0.0032748203642858184
7.540154996848947	-0.003412473633798138
7.698895102045767	-0.003563820247772609
7.857635207242587	-0.0035369193800983936
